Representativt dygn;Nederbördsmängd
1945-01-01;0.3
1945-01-02;3.3
1945-01-03;4.5
1945-01-04;0.1
1945-01-05;0.0
1945-01-06;0.3
1945-01-07;3.7
1945-01-08;3.4
1945-01-09;1.7
1945-01-10;3.5
1945-01-11;0.7
1945-01-12;0.0
1945-01-13;0.0
1945-01-14;0.0
1945-01-15;0.0
1945-01-16;6.0
1945-01-17;0.0
1945-01-18;11.4
1945-01-19;4.6
1945-01-20;0.8
1945-01-21;3.4
1945-01-22;0.0
1945-01-23;3.2
1945-01-24;0.9
1945-01-25;2.7
1945-01-26;1.5
1945-01-27;1.5
1945-01-28;0.2
1945-01-29;0.0
1945-01-30;0.2
1945-01-31;4.6
1945-02-01;10.3
1945-02-02;17.3
1945-02-03;3.1
1945-02-04;0.0
1945-02-05;0.0
1945-02-06;0.0
1945-02-07;0.8
1945-02-08;0.1
1945-02-09;1.0
1945-02-10;4.2
1945-02-11;1.0
1945-02-12;0.0
1945-02-13;10.5
1945-02-14;1.5
1945-02-15;0.0
1945-02-16;0.0
1945-02-17;0.0
1945-02-18;6.9
1945-02-19;0.0
1945-02-20;2.1
1945-02-21;0.0
1945-02-22;0.0
1945-02-23;0.0
1945-02-24;0.5
1945-02-25;1.4
1945-02-26;0.0
1945-02-27;0.0
1945-02-28;2.3
1945-03-01;0.5
1945-03-02;0.0
1945-03-03;0.0
1945-03-04;0.0
1945-03-05;0.0
1945-03-06;1.3
1945-03-07;0.0
1945-03-08;0.0
1945-03-09;0.0
1945-03-10;0.0
1945-03-11;0.0
1945-03-12;0.0
1945-03-13;0.0
1945-03-14;0.0
1945-03-15;0.0
1945-03-16;8.4
1945-03-17;0.0
1945-03-18;0.0
1945-03-19;3.8
1945-03-20;4.9
1945-03-21;0.0
1945-03-22;0.0
1945-03-23;0.0
1945-03-24;0.0
1945-03-25;0.0
1945-03-26;0.0
1945-03-27;0.0
1945-03-28;0.0
1945-03-29;0.0
1945-03-30;0.9
1945-03-31;2.8
1945-04-01;1.0
1945-04-02;0.0
1945-04-03;0.0
1945-04-04;0.0
1945-04-05;0.4
1945-04-06;0.0
1945-04-07;0.0
1945-04-08;0.0
1945-04-09;0.0
1945-04-10;0.0
1945-04-11;0.0
1945-04-12;0.0
1945-04-13;0.0
1945-04-14;0.0
1945-04-15;0.0
1945-04-16;0.0
1945-04-17;0.6
1945-04-18;0.3
1945-04-19;0.0
1945-04-20;3.3
1945-04-21;0.5
1945-04-22;2.8
1945-04-23;0.1
1945-04-24;1.4
1945-04-25;0.3
1945-04-26;0.3
1945-04-27;3.0
1945-04-28;0.3
1945-04-29;4.3
1945-04-30;2.9
1945-05-01;6.0
1945-05-02;25.7
1945-05-03;55.2
1945-05-04;0.3
1945-05-05;0.0
1945-05-06;0.0
1945-05-07;0.0
1945-05-08;0.0
1945-05-09;1.2
1945-05-10;4.5
1945-05-11;0.0
1945-05-12;0.0
1945-05-13;2.3
1945-05-14;4.3
1945-05-15;0.1
1945-05-16;0.7
1945-05-17;7.6
1945-05-18;0.0
1945-05-19;0.0
1945-05-20;0.0
1945-05-21;0.0
1945-05-22;0.0
1945-05-23;0.0
1945-05-24;1.4
1945-05-25;0.0
1945-05-26;0.0
1945-05-27;0.2
1945-05-28;1.1
1945-05-29;0.4
1945-05-30;2.3
1945-05-31;0.0
1945-06-01;0.0
1945-06-02;0.0
1945-06-03;0.0
1945-06-04;2.9
1945-06-05;0.4
1945-06-06;12.2
1945-06-07;2.3
1945-06-08;4.4
1945-06-09;0.0
1945-06-10;6.1
1945-06-11;0.0
1945-06-12;2.4
1945-06-13;0.1
1945-06-14;3.2
1945-06-15;3.2
1945-06-16;4.6
1945-06-17;4.1
1945-06-18;3.3
1945-06-19;0.0
1945-06-20;0.0
1945-06-21;0.0
1945-06-22;0.0
1945-06-23;0.0
1945-06-24;2.7
1945-06-25;0.2
1945-06-26;10.1
1945-06-27;0.2
1945-06-28;0.8
1945-06-29;0.0
1945-06-30;10.0
1945-07-01;12.3
1945-07-02;4.4
1945-07-03;0.0
1945-07-04;0.0
1945-07-05;1.9
1945-07-06;5.1
1945-07-07;0.0
1945-07-08;0.2
1945-07-09;0.0
1945-07-10;0.0
1945-07-11;0.0
1945-07-12;0.0
1945-07-13;0.0
1945-07-14;0.0
1945-07-15;0.0
1945-07-16;0.0
1945-07-17;0.0
1945-07-18;7.2
1945-07-19;0.0
1945-07-20;8.2
1945-07-21;0.8
1945-07-22;20.7
1945-07-23;0.0
1945-07-24;0.0
1945-07-25;0.0
1945-07-26;0.0
1945-07-27;16.5
1945-07-28;24.7
1945-07-29;0.1
1945-07-30;13.7
1945-07-31;0.0
1945-08-01;0.0
1945-08-02;0.0
1945-08-03;0.0
1945-08-04;0.0
1945-08-05;0.0
1945-08-06;1.2
1945-08-07;0.1
1945-08-08;0.0
1945-08-09;0.0
1945-08-10;1.7
1945-08-11;3.3
1945-08-12;14.2
1945-08-13;2.1
1945-08-14;6.9
1945-08-15;0.1
1945-08-16;0.0
1945-08-17;44.8
1945-08-18;10.5
1945-08-19;0.0
1945-08-20;0.3
1945-08-21;0.8
1945-08-22;16.6
1945-08-23;1.6
1945-08-24;6.1
1945-08-25;2.2
1945-08-26;0.0
1945-08-27;0.0
1945-08-28;0.0
1945-08-29;25.6
1945-08-30;0.6
1945-08-31;3.3
1945-09-01;0.0
1945-09-02;0.0
1945-09-03;0.0
1945-09-04;0.0
1945-09-05;0.0
1945-09-06;0.0
1945-09-07;0.0
1945-09-08;0.0
1945-09-09;0.2
1945-09-10;0.0
1945-09-11;0.0
1945-09-12;0.0
1945-09-13;0.0
1945-09-14;0.6
1945-09-15;0.0
1945-09-16;0.7
1945-09-17;3.7
1945-09-18;12.8
1945-09-19;3.5
1945-09-20;7.9
1945-09-21;0.6
1945-09-22;8.8
1945-09-23;2.6
1945-09-24;0.2
1945-09-25;0.1
1945-09-26;1.4
1945-09-27;1.5
1945-09-28;1.5
1945-09-29;0.0
1945-09-30;0.0
1945-10-01;0.0
1945-10-02;0.0
1945-10-03;0.0
1945-10-04;4.7
1945-10-05;0.3
1945-10-06;0.0
1945-10-07;0.1
1945-10-08;0.8
1945-10-09;0.7
1945-10-10;4.2
1945-10-11;0.0
1945-10-12;0.0
1945-10-13;0.0
1945-10-14;0.0
1945-10-15;0.0
1945-10-16;0.1
1945-10-17;0.0
1945-10-18;0.0
1945-10-19;0.0
1945-10-20;0.0
1945-10-21;0.0
1945-10-22;5.6
1945-10-23;4.5
1945-10-24;3.2
1945-10-25;2.9
1945-10-26;7.6
1945-10-27;6.3
1945-10-28;0.0
1945-10-29;0.0
1945-10-30;17.6
1945-10-31;0.0
1945-11-01;0.0
1945-11-02;0.0
1945-11-03;0.0
1945-11-04;0.1
1945-11-05;0.1
1945-11-06;0.0
1945-11-07;20.2
1945-11-08;16.4
1945-11-09;0.6
1945-11-10;0.3
1945-11-11;0.2
1945-11-12;1.1
1945-11-13;0.7
1945-11-14;0.5
1945-11-15;0.7
1945-11-16;3.9
1945-11-17;0.2
1945-11-18;0.0
1945-11-19;0.0
1945-11-20;0.5
1945-11-21;0.0
1945-11-22;0.0
1945-11-23;0.0
1945-11-24;0.0
1945-11-25;1.1
1945-11-26;7.8
1945-11-27;0.3
1945-11-28;0.8
1945-11-29;0.0
1945-11-30;0.0
1945-12-01;0.9
1945-12-02;0.1
1945-12-03;5.6
1945-12-04;0.1
1945-12-05;0.0
1945-12-06;0.0
1945-12-07;0.0
1945-12-08;0.0
1945-12-09;0.0
1945-12-10;1.2
1945-12-11;0.0
1945-12-12;6.8
