Kategori: Alla kategorier

Vecka,melodifestivalen: (Sverige)
2020-03-08,43
2020-03-15,10
2020-03-22,7
2020-03-29,8
2020-04-05,9
2020-04-12,5
2020-04-19,4
2020-04-26,5
2020-05-03,11
2020-05-10,8
2020-05-17,5
2020-05-24,5
2020-05-31,5
2020-06-07,4
2020-06-14,6
2020-06-21,4
2020-06-28,7
2020-07-05,4
2020-07-12,6
2020-07-19,5
2020-07-26,5
2020-08-02,4
2020-08-09,6
2020-08-16,4
2020-08-23,4
2020-08-30,5
2020-09-06,4
2020-09-13,4
2020-09-20,3
2020-09-27,4
2020-10-04,3
2020-10-11,8
2020-10-18,8
2020-10-25,5
2020-11-01,4
2020-11-08,3
2020-11-15,4
2020-11-22,5
2020-11-29,10
2020-12-06,6
2020-12-13,4
2020-12-20,5
2020-12-27,7
2021-01-03,11
2021-01-10,8
2021-01-17,7
2021-01-24,15
2021-01-31,100
2021-02-07,77
2021-02-14,72
2021-02-21,71
2021-02-28,62
