Representativt dygn;Nederbördsmängd
2020-11-14;0.1
2020-11-15;0.2
2020-11-16;0.8
2020-11-17;2.9
2020-11-18;2.5
2020-11-19;2.8
2020-11-20;1.6
2020-11-21;3.8
2020-11-22;0.0
2020-11-23;1.6
2020-11-24;2.1
2020-11-25;1.0
2020-11-26;0.7
2020-11-27;0.0
2020-11-28;0.0
2020-11-29;0.2
2020-11-30;4.9
2020-12-01;0.3
2020-12-02;0.0
2020-12-03;2.9
2020-12-04;1.1
2020-12-05;0.2
2020-12-06;0.2
2020-12-07;2.3
2020-12-08;2.1
2020-12-09;0.7
2020-12-10;0.4
2020-12-11;3.2
2020-12-12;1.3
2020-12-13;1.5
2020-12-14;3.0
2020-12-15;1.0
2020-12-16;0.0
2020-12-17;9.7
2020-12-18;0.6
2020-12-19;0.0
2020-12-20;0.5
2020-12-21;1.6
2020-12-22;5.8
2020-12-23;0.0
2020-12-24;0.0
2020-12-25;0.0
2020-12-26;0.6
2020-12-27;0.0
2020-12-28;1.8
2020-12-29;14.0
2020-12-30;4.0
2020-12-31;0.5
2021-01-01;1.0
2021-01-02;0.6
2021-01-03;0.2
2021-01-04;0.1
2021-01-05;0.2
2021-01-06;2.4
2021-01-07;2.0
2021-01-08;2.7
2021-01-09;0.0
2021-01-10;0.0
2021-01-11;18.5
2021-01-12;2.2
2021-01-13;1.7
2021-01-14;0.0
2021-01-15;0.0
2021-01-16;0.0
2021-01-17;0.1
2021-01-18;0.3
2021-01-19;2.7
2021-01-20;10.7
2021-01-21;1.2
2021-01-22;11.8
2021-01-23;0.0
2021-01-24;0.0
2021-01-25;0.0
2021-01-26;0.0
2021-01-27;0.0
2021-01-28;0.2
2021-01-29;0.0
2021-01-30;0.0
2021-01-31;0.0
2021-02-01;5.1
2021-02-02;0.8
2021-02-03;0.1
2021-02-04;0.0
2021-02-05;0.0
2021-02-06;0.0
2021-02-07;0.0
2021-02-08;0.0
2021-02-09;0.0
2021-02-10;1.0
2021-02-11;0.0
2021-02-12;0.0
2021-02-13;0.0
2021-02-14;0.0
2021-02-15;0.1
2021-02-16;0.0
2021-02-17;0.5
2021-02-18;0.5
2021-02-19;0.7
2021-02-20;0.4
2021-02-21;0.0
2021-02-22;0.0
2021-02-23;0.0
2021-02-24;0.8
2021-02-25;0.0
2021-02-26;0.0
2021-02-27;0.0
2021-02-28;0.0
2021-03-01;0.0
2021-03-02;0.0
2021-03-03;0.0
2021-03-04;0.0
2021-03-05;0.0
2021-03-06;1.3
2021-03-07;0.0
2021-03-08;0.0
2021-03-09;0.0
2021-03-10;0.0
2021-03-11;9.0
2021-03-12;0.1
2021-03-14;0.5
2021-03-15;1.0
2021-03-16;0.0
2021-03-17;0.0
2021-03-18;0.7
2021-03-19;0.0
2021-03-20;0.0
2021-03-21;0.0
2021-03-22;0.0
2021-03-23;0.0
2021-03-24;0.0
