Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Skövde;83230;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimetre

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1945-01-01 00:00:00;2021-03-25 12:00:00;150.0;58.3949;13.8436

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2020-11-14 06:00:01;2020-11-15 06:00:00;2020-11-14;0.1;Y;;Data från senaste fyra månaderna
2020-11-15 06:00:01;2020-11-16 06:00:00;2020-11-15;0.2;Y;;Tidsperiod (fr.o.m.) = 2020-11-15 00:00:01 (UTC)
2020-11-16 06:00:01;2020-11-17 06:00:00;2020-11-16;0.8;Y;;Tidsperiod (t.o.m.) = 2021-03-25 12:00:00 (UTC)
2020-11-17 06:00:01;2020-11-18 06:00:00;2020-11-17;2.9;Y;;Värdet är summerat över = 24 timmar
2020-11-18 06:00:01;2020-11-19 06:00:00;2020-11-18;2.5;Y;;
2020-11-19 06:00:01;2020-11-20 06:00:00;2020-11-19;2.8;Y;;Kvalitetskoderna:
2020-11-20 06:00:01;2020-11-21 06:00:00;2020-11-20;1.6;Y;;Grön (G) = Kontrollerade och godkända värden.
2020-11-21 06:00:01;2020-11-22 06:00:00;2020-11-21;3.8;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2020-11-22 06:00:01;2020-11-23 06:00:00;2020-11-22;0.0;Y;;
2020-11-23 06:00:01;2020-11-24 06:00:00;2020-11-23;1.6;Y;;Orsaker till saknade data:
2020-11-24 06:00:01;2020-11-25 06:00:00;2020-11-24;2.1;Y;;  stationen eller givaren har varit ur funktion.
2020-11-25 06:00:01;2020-11-26 06:00:00;2020-11-25;1.0;Y
2020-11-26 06:00:01;2020-11-27 06:00:00;2020-11-26;0.7;Y
2020-11-27 06:00:01;2020-11-28 06:00:00;2020-11-27;0.0;Y
2020-11-28 06:00:01;2020-11-29 06:00:00;2020-11-28;0.0;Y
2020-11-29 06:00:01;2020-11-30 06:00:00;2020-11-29;0.2;Y
2020-11-30 06:00:01;2020-12-01 06:00:00;2020-11-30;4.9;Y
2020-12-01 06:00:01;2020-12-02 06:00:00;2020-12-01;0.3;Y
2020-12-02 06:00:01;2020-12-03 06:00:00;2020-12-02;0.0;Y
2020-12-03 06:00:01;2020-12-04 06:00:00;2020-12-03;2.9;Y
2020-12-04 06:00:01;2020-12-05 06:00:00;2020-12-04;1.1;Y
2020-12-05 06:00:01;2020-12-06 06:00:00;2020-12-05;0.2;Y
2020-12-06 06:00:01;2020-12-07 06:00:00;2020-12-06;0.2;Y
2020-12-07 06:00:01;2020-12-08 06:00:00;2020-12-07;2.3;Y
2020-12-08 06:00:01;2020-12-09 06:00:00;2020-12-08;2.1;Y
2020-12-09 06:00:01;2020-12-10 06:00:00;2020-12-09;0.7;Y
2020-12-10 06:00:01;2020-12-11 06:00:00;2020-12-10;0.4;Y
2020-12-11 06:00:01;2020-12-12 06:00:00;2020-12-11;3.2;Y
2020-12-12 06:00:01;2020-12-13 06:00:00;2020-12-12;1.3;Y
2020-12-13 06:00:01;2020-12-14 06:00:00;2020-12-13;1.5;Y
2020-12-14 06:00:01;2020-12-15 06:00:00;2020-12-14;3.0;Y
2020-12-15 06:00:01;2020-12-16 06:00:00;2020-12-15;1.0;Y
2020-12-16 06:00:01;2020-12-17 06:00:00;2020-12-16;0.0;Y
2020-12-17 06:00:01;2020-12-18 06:00:00;2020-12-17;9.7;Y
2020-12-18 06:00:01;2020-12-19 06:00:00;2020-12-18;0.6;Y
2020-12-19 06:00:01;2020-12-20 06:00:00;2020-12-19;0.0;Y
2020-12-20 06:00:01;2020-12-21 06:00:00;2020-12-20;0.5;Y
2020-12-21 06:00:01;2020-12-22 06:00:00;2020-12-21;1.6;Y
2020-12-22 06:00:01;2020-12-23 06:00:00;2020-12-22;5.8;Y
